""	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"14312"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"Lutimonas"	NA
"14313"	"Bacteria"	"Campylobacterota"	"Campylobacteria"	"Campylobacterales"	"Sulfurovaceae"	"Sulfurovum"	NA
"14314"	"Bacteria"	NA	NA	NA	NA	NA	NA
"14315"	NA	NA	NA	NA	NA	NA	NA
"14316"	"Bacteria"	NA	NA	NA	NA	NA	NA
"14317"	NA	NA	NA	NA	NA	NA	NA
"14318"	"Bacteria"	NA	NA	NA	NA	NA	NA
"14319"	"Bacteria"	NA	NA	NA	NA	NA	NA
"14320"	"Bacteria"	NA	NA	NA	NA	NA	NA
"14321"	"Bacteria"	NA	NA	NA	NA	NA	NA
"14322"	"Bacteria"	"Verrucomicrobiota"	"Kiritimatiellae"	"WCHB1-41"	NA	NA	NA
"14323"	"Bacteria"	NA	NA	NA	NA	NA	NA
"14324"	"Bacteria"	NA	NA	NA	NA	NA	NA
"14325"	"Bacteria"	"Armatimonadota"	NA	NA	NA	NA	NA
